,out_tx,in_tx,out_value,in_value,unique_receivers,unique_senders
16062848,0.0,0.0,0.0,0.0,0.0,0.0
16062847,0.0,0.0,0.0,0.0,0.0,0.0
16062846,0.0,0.0,0.0,0.0,0.0,0.0
16062845,0.0,0.0,0.0,0.0,0.0,0.0
16062844,0.0,0.0,0.0,0.0,0.0,0.0
16062843,0.0,0.0,0.0,0.0,0.0,0.0
16062842,0.0,0.0,0.0,0.0,0.0,0.0
16062841,0.0,0.0,0.0,0.0,0.0,0.0
16062840,0.0,0.0,0.0,0.0,0.0,0.0
16062839,0.0,0.0,0.0,0.0,0.0,0.0
16062838,0.0,0.0,0.0,0.0,0.0,0.0
16062837,0.0,0.0,0.0,0.0,0.0,0.0
16062836,0.0,0.0,0.0,0.0,0.0,0.0
16062835,0.0,0.0,0.0,0.0,0.0,0.0
16062834,0.0,0.0,0.0,0.0,0.0,0.0
16062833,0.0,0.0,0.0,0.0,0.0,0.0
16062832,0.0,0.0,0.0,0.0,0.0,0.0
16062831,0.0,0.0,0.0,0.0,0.0,0.0
16062830,0.0,0.0,0.0,0.0,0.0,0.0
16062829,0.0,0.0,0.0,0.0,0.0,0.0
16062828,0.0,0.0,0.0,0.0,0.0,0.0
16062827,0.0,0.0,0.0,0.0,0.0,0.0
16062826,0.0,0.0,0.0,0.0,0.0,0.0
16062825,0.0,0.0,0.0,0.0,0.0,0.0
16062824,0.0,0.0,0.0,0.0,0.0,0.0
16062823,0.0,0.0,0.0,0.0,0.0,0.0
16062822,0.0,0.0,0.0,0.0,0.0,0.0
16062821,0.0,0.0,0.0,0.0,0.0,0.0
16062820,0.0,0.0,0.0,0.0,0.0,0.0
16062819,0.0,0.0,0.0,0.0,0.0,0.0
16062818,0.0,0.0,0.0,0.0,0.0,0.0
16062817,0.0,0.0,0.0,0.0,0.0,0.0
16062816,0.0,0.0,0.0,0.0,0.0,0.0
16062815,0.0,0.0,0.0,0.0,0.0,0.0
16062814,0.0,0.0,0.0,0.0,0.0,0.0
16062813,0.0,0.0,0.0,0.0,0.0,0.0
16062812,0.0,0.0,0.0,0.0,0.0,0.0
16062811,0.0,0.0,0.0,0.0,0.0,0.0
16062810,0.0,0.0,0.0,0.0,0.0,0.0
16062809,0.0,0.0,0.0,0.0,0.0,0.0
16062808,0.0,0.0,0.0,0.0,0.0,0.0
16062807,0.0,0.0,0.0,0.0,0.0,0.0
16062806,0.0,0.0,0.0,0.0,0.0,0.0
16062805,0.0,0.0,0.0,0.0,0.0,0.0
16062804,0.0,0.0,0.0,0.0,0.0,0.0
16062803,0.0,0.0,0.0,0.0,0.0,0.0
16062802,0.0,0.0,0.0,0.0,0.0,0.0
16062801,0.0,0.0,0.0,0.0,0.0,0.0
16062800,0.0,0.0,0.0,0.0,0.0,0.0
16062799,0.0,0.0,0.0,0.0,0.0,0.0
16062798,0.0,0.0,0.0,0.0,0.0,0.0
16062797,0.0,0.0,0.0,0.0,0.0,0.0
16062796,0.0,0.0,0.0,0.0,0.0,0.0
16062795,0.0,0.0,0.0,0.0,0.0,0.0
16062794,0.0,0.0,0.0,0.0,0.0,0.0
16062793,0.0,0.0,0.0,0.0,0.0,0.0
16062792,0.0,0.0,0.0,0.0,0.0,0.0
16062791,0.0,0.0,0.0,0.0,0.0,0.0
16062790,0.0,0.0,0.0,0.0,0.0,0.0
16062789,0.0,0.0,0.0,0.0,0.0,0.0
16062788,0.0,0.0,0.0,0.0,0.0,0.0
16062787,0.0,0.0,0.0,0.0,0.0,0.0
16062786,0.0,0.0,0.0,0.0,0.0,0.0
16062785,0.0,0.0,0.0,0.0,0.0,0.0
16062784,0.0,0.0,0.0,0.0,0.0,0.0
16062783,0.0,0.0,0.0,0.0,0.0,0.0
16062782,0.0,0.0,0.0,0.0,0.0,0.0
16062781,0.0,0.0,0.0,0.0,0.0,0.0
16062780,0.0,0.0,0.0,0.0,0.0,0.0
16062779,0.0,0.0,0.0,0.0,0.0,0.0
16062778,1.0,0.0,5.5e+17,0.0,1.0,0.0
16062777,0.0,0.0,0.0,0.0,0.0,0.0
16062776,0.0,0.0,0.0,0.0,0.0,0.0
16062775,0.0,0.0,0.0,0.0,0.0,0.0
16062774,0.0,0.0,0.0,0.0,0.0,0.0
16062773,0.0,0.0,0.0,0.0,0.0,0.0
16062772,0.0,0.0,0.0,0.0,0.0,0.0
16062771,0.0,0.0,0.0,0.0,0.0,0.0
16062770,0.0,0.0,0.0,0.0,0.0,0.0
16062769,0.0,0.0,0.0,0.0,0.0,0.0
16062768,0.0,0.0,0.0,0.0,0.0,0.0
16062767,0.0,0.0,0.0,0.0,0.0,0.0
16062766,0.0,0.0,0.0,0.0,0.0,0.0
16062765,0.0,0.0,0.0,0.0,0.0,0.0
16062764,0.0,0.0,0.0,0.0,0.0,0.0
16062763,0.0,0.0,0.0,0.0,0.0,0.0
16062762,0.0,0.0,0.0,0.0,0.0,0.0
16062761,0.0,0.0,0.0,0.0,0.0,0.0
16062760,0.0,0.0,0.0,0.0,0.0,0.0
16062759,0.0,0.0,0.0,0.0,0.0,0.0
16062758,0.0,0.0,0.0,0.0,0.0,0.0
16062757,0.0,0.0,0.0,0.0,0.0,0.0
16062756,0.0,0.0,0.0,0.0,0.0,0.0
16062755,0.0,0.0,0.0,0.0,0.0,0.0
16062754,0.0,0.0,0.0,0.0,0.0,0.0
16062753,0.0,0.0,0.0,0.0,0.0,0.0
16062752,0.0,0.0,0.0,0.0,0.0,0.0
16062751,0.0,0.0,0.0,0.0,0.0,0.0
16062750,0.0,0.0,0.0,0.0,0.0,0.0
16062749,0.0,0.0,0.0,0.0,0.0,0.0
16062748,0.0,0.0,0.0,0.0,0.0,0.0
16062747,0.0,0.0,0.0,0.0,0.0,0.0
16062746,0.0,0.0,0.0,0.0,0.0,0.0
16062745,0.0,0.0,0.0,0.0,0.0,0.0
16062744,0.0,0.0,0.0,0.0,0.0,0.0
16062743,0.0,0.0,0.0,0.0,0.0,0.0
16062742,0.0,0.0,0.0,0.0,0.0,0.0
16062741,0.0,0.0,0.0,0.0,0.0,0.0
16062740,0.0,0.0,0.0,0.0,0.0,0.0
16062739,0.0,0.0,0.0,0.0,0.0,0.0
16062738,0.0,0.0,0.0,0.0,0.0,0.0
16062737,0.0,0.0,0.0,0.0,0.0,0.0
16062736,0.0,0.0,0.0,0.0,0.0,0.0
16062735,0.0,0.0,0.0,0.0,0.0,0.0
16062734,0.0,0.0,0.0,0.0,0.0,0.0
16062733,0.0,0.0,0.0,0.0,0.0,0.0
16062732,0.0,0.0,0.0,0.0,0.0,0.0
16062731,0.0,0.0,0.0,0.0,0.0,0.0
16062730,0.0,0.0,0.0,0.0,0.0,0.0
16062729,0.0,0.0,0.0,0.0,0.0,0.0
16062728,0.0,0.0,0.0,0.0,0.0,0.0
16062727,0.0,0.0,0.0,0.0,0.0,0.0
16062726,0.0,0.0,0.0,0.0,0.0,0.0
16062725,0.0,0.0,0.0,0.0,0.0,0.0
16062724,0.0,0.0,0.0,0.0,0.0,0.0
16062723,0.0,0.0,0.0,0.0,0.0,0.0
16062722,0.0,0.0,0.0,0.0,0.0,0.0
16062721,0.0,0.0,0.0,0.0,0.0,0.0
16062720,0.0,0.0,0.0,0.0,0.0,0.0
16062719,0.0,0.0,0.0,0.0,0.0,0.0
16062718,0.0,0.0,0.0,0.0,0.0,0.0
16062717,0.0,0.0,0.0,0.0,0.0,0.0
16062716,0.0,0.0,0.0,0.0,0.0,0.0
16062715,0.0,0.0,0.0,0.0,0.0,0.0
16062714,0.0,0.0,0.0,0.0,0.0,0.0
16062713,0.0,0.0,0.0,0.0,0.0,0.0
16062712,0.0,0.0,0.0,0.0,0.0,0.0
16062711,0.0,0.0,0.0,0.0,0.0,0.0
16062710,0.0,0.0,0.0,0.0,0.0,0.0
16062709,0.0,0.0,0.0,0.0,0.0,0.0
16062708,0.0,0.0,0.0,0.0,0.0,0.0
16062707,0.0,0.0,0.0,0.0,0.0,0.0
16062706,0.0,0.0,0.0,0.0,0.0,0.0
16062705,0.0,0.0,0.0,0.0,0.0,0.0
16062704,0.0,0.0,0.0,0.0,0.0,0.0
16062703,0.0,0.0,0.0,0.0,0.0,0.0
16062702,0.0,0.0,0.0,0.0,0.0,0.0
16062701,0.0,0.0,0.0,0.0,0.0,0.0
16062700,0.0,0.0,0.0,0.0,0.0,0.0
16062699,0.0,0.0,0.0,0.0,0.0,0.0
16062698,0.0,0.0,0.0,0.0,0.0,0.0
16062697,0.0,0.0,0.0,0.0,0.0,0.0
16062696,0.0,0.0,0.0,0.0,0.0,0.0
16062695,0.0,0.0,0.0,0.0,0.0,0.0
16062694,0.0,0.0,0.0,0.0,0.0,0.0
16062693,0.0,0.0,0.0,0.0,0.0,0.0
16062692,0.0,0.0,0.0,0.0,0.0,0.0
16062691,0.0,0.0,0.0,0.0,0.0,0.0
16062690,0.0,0.0,0.0,0.0,0.0,0.0
16062689,0.0,0.0,0.0,0.0,0.0,0.0
16062688,0.0,0.0,0.0,0.0,0.0,0.0
16062687,0.0,0.0,0.0,0.0,0.0,0.0
16062686,0.0,0.0,0.0,0.0,0.0,0.0
16062685,0.0,0.0,0.0,0.0,0.0,0.0
16062684,0.0,0.0,0.0,0.0,0.0,0.0
16062683,0.0,0.0,0.0,0.0,0.0,0.0
16062682,0.0,0.0,0.0,0.0,0.0,0.0
16062681,0.0,0.0,0.0,0.0,0.0,0.0
16062680,0.0,0.0,0.0,0.0,0.0,0.0
16062679,0.0,0.0,0.0,0.0,0.0,0.0
16062678,0.0,0.0,0.0,0.0,0.0,0.0
16062677,0.0,0.0,0.0,0.0,0.0,0.0
16062676,0.0,0.0,0.0,0.0,0.0,0.0
16062675,0.0,0.0,0.0,0.0,0.0,0.0
16062674,0.0,0.0,0.0,0.0,0.0,0.0
16062673,0.0,0.0,0.0,0.0,0.0,0.0
16062672,0.0,0.0,0.0,0.0,0.0,0.0
16062671,0.0,0.0,0.0,0.0,0.0,0.0
16062670,0.0,0.0,0.0,0.0,0.0,0.0
16062669,0.0,0.0,0.0,0.0,0.0,0.0
16062668,0.0,0.0,0.0,0.0,0.0,0.0
16062667,0.0,0.0,0.0,0.0,0.0,0.0
16062666,0.0,0.0,0.0,0.0,0.0,0.0
16062665,0.0,0.0,0.0,0.0,0.0,0.0
16062664,0.0,0.0,0.0,0.0,0.0,0.0
16062663,0.0,0.0,0.0,0.0,0.0,0.0
16062662,0.0,0.0,0.0,0.0,0.0,0.0
16062661,0.0,0.0,0.0,0.0,0.0,0.0
16062660,0.0,0.0,0.0,0.0,0.0,0.0
16062659,0.0,0.0,0.0,0.0,0.0,0.0
16062658,0.0,0.0,0.0,0.0,0.0,0.0
16062657,0.0,0.0,0.0,0.0,0.0,0.0
16062656,0.0,0.0,0.0,0.0,0.0,0.0
16062655,0.0,0.0,0.0,0.0,0.0,0.0
16062654,0.0,0.0,0.0,0.0,0.0,0.0
16062653,0.0,0.0,0.0,0.0,0.0,0.0
16062652,0.0,0.0,0.0,0.0,0.0,0.0
16062651,0.0,0.0,0.0,0.0,0.0,0.0
16062650,0.0,0.0,0.0,0.0,0.0,0.0
16062649,0.0,0.0,0.0,0.0,0.0,0.0
16062648,0.0,0.0,0.0,0.0,0.0,0.0
