,out_tx,in_tx,out_value,in_value,unique_receivers,unique_senders
16112656,0.0,0.0,0.0,0.0,0.0,0.0
16112655,0.0,0.0,0.0,0.0,0.0,0.0
16112654,0.0,0.0,0.0,0.0,0.0,0.0
16112653,0.0,0.0,0.0,0.0,0.0,0.0
16112652,0.0,0.0,0.0,0.0,0.0,0.0
16112651,0.0,0.0,0.0,0.0,0.0,0.0
16112650,0.0,0.0,0.0,0.0,0.0,0.0
16112649,0.0,0.0,0.0,0.0,0.0,0.0
16112648,0.0,0.0,0.0,0.0,0.0,0.0
16112647,0.0,0.0,0.0,0.0,0.0,0.0
16112646,0.0,0.0,0.0,0.0,0.0,0.0
16112645,0.0,0.0,0.0,0.0,0.0,0.0
16112644,0.0,0.0,0.0,0.0,0.0,0.0
16112643,0.0,0.0,0.0,0.0,0.0,0.0
16112642,0.0,0.0,0.0,0.0,0.0,0.0
16112641,0.0,0.0,0.0,0.0,0.0,0.0
16112640,0.0,0.0,0.0,0.0,0.0,0.0
16112639,0.0,0.0,0.0,0.0,0.0,0.0
16112638,0.0,0.0,0.0,0.0,0.0,0.0
16112637,0.0,0.0,0.0,0.0,0.0,0.0
16112636,0.0,0.0,0.0,0.0,0.0,0.0
16112635,0.0,0.0,0.0,0.0,0.0,0.0
16112634,0.0,0.0,0.0,0.0,0.0,0.0
16112633,0.0,0.0,0.0,0.0,0.0,0.0
16112632,0.0,0.0,0.0,0.0,0.0,0.0
16112631,0.0,0.0,0.0,0.0,0.0,0.0
16112630,0.0,0.0,0.0,0.0,0.0,0.0
16112629,0.0,0.0,0.0,0.0,0.0,0.0
16112628,0.0,0.0,0.0,0.0,0.0,0.0
16112627,0.0,0.0,0.0,0.0,0.0,0.0
16112626,0.0,0.0,0.0,0.0,0.0,0.0
16112625,0.0,0.0,0.0,0.0,0.0,0.0
16112624,0.0,0.0,0.0,0.0,0.0,0.0
16112623,0.0,0.0,0.0,0.0,0.0,0.0
16112622,0.0,0.0,0.0,0.0,0.0,0.0
16112621,0.0,0.0,0.0,0.0,0.0,0.0
16112620,0.0,0.0,0.0,0.0,0.0,0.0
16112619,0.0,0.0,0.0,0.0,0.0,0.0
16112618,0.0,0.0,0.0,0.0,0.0,0.0
16112617,0.0,0.0,0.0,0.0,0.0,0.0
16112616,0.0,0.0,0.0,0.0,0.0,0.0
16112615,0.0,0.0,0.0,0.0,0.0,0.0
16112614,0.0,0.0,0.0,0.0,0.0,0.0
16112613,0.0,0.0,0.0,0.0,0.0,0.0
16112612,0.0,0.0,0.0,0.0,0.0,0.0
16112611,0.0,0.0,0.0,0.0,0.0,0.0
16112610,0.0,0.0,0.0,0.0,0.0,0.0
16112609,0.0,0.0,0.0,0.0,0.0,0.0
16112608,0.0,0.0,0.0,0.0,0.0,0.0
16112607,0.0,0.0,0.0,0.0,0.0,0.0
16112606,0.0,0.0,0.0,0.0,0.0,0.0
16112605,0.0,0.0,0.0,0.0,0.0,0.0
16112604,0.0,0.0,0.0,0.0,0.0,0.0
16112603,0.0,0.0,0.0,0.0,0.0,0.0
16112602,0.0,0.0,0.0,0.0,0.0,0.0
16112601,0.0,0.0,0.0,0.0,0.0,0.0
16112600,0.0,0.0,0.0,0.0,0.0,0.0
16112599,0.0,0.0,0.0,0.0,0.0,0.0
16112598,0.0,0.0,0.0,0.0,0.0,0.0
16112597,0.0,0.0,0.0,0.0,0.0,0.0
16112596,0.0,0.0,0.0,0.0,0.0,0.0
16112595,0.0,0.0,0.0,0.0,0.0,0.0
16112594,0.0,0.0,0.0,0.0,0.0,0.0
16112593,0.0,0.0,0.0,0.0,0.0,0.0
16112592,0.0,0.0,0.0,0.0,0.0,0.0
16112591,0.0,0.0,0.0,0.0,0.0,0.0
16112590,0.0,0.0,0.0,0.0,0.0,0.0
16112589,0.0,0.0,0.0,0.0,0.0,0.0
16112588,0.0,0.0,0.0,0.0,0.0,0.0
16112587,0.0,0.0,0.0,0.0,0.0,0.0
16112586,0.0,0.0,0.0,0.0,0.0,0.0
16112585,0.0,0.0,0.0,0.0,0.0,0.0
16112584,0.0,0.0,0.0,0.0,0.0,0.0
16112583,0.0,0.0,0.0,0.0,0.0,0.0
16112582,0.0,0.0,0.0,0.0,0.0,0.0
16112581,0.0,0.0,0.0,0.0,0.0,0.0
16112580,0.0,0.0,0.0,0.0,0.0,0.0
16112579,0.0,0.0,0.0,0.0,0.0,0.0
16112578,0.0,0.0,0.0,0.0,0.0,0.0
