,Unnamed: 0,hash,nonce,transaction_index,from_address,to_address,value,gas,gas_price,input,receipt_cumulative_gas_used,receipt_gas_used,receipt_contract_address,receipt_root,receipt_status,block_timestamp,block_number,block_hash,max_fee_per_gas,max_priority_fee_per_gas,transaction_type,receipt_effective_gas_price
71691,71691,0xadcf31cb1260fdbf88795496a4ba7c80b238a451f1b048722eb7d4e086bba465,49151,24,0xcc9557f04633d82fb6a1741dcec96986cd8689ae,0x8b39528ea0cf62224eb20662449172715ffc50b8,1.11169463842392e+17,21000,12195137924,0x,2104983,21000,,,1,2022-11-27 16:48:59+00:00,16062620,0x0db0419af7d28878e860d8e6a211271bb13bf90869526c75d9ea2c740379205e,21880782012.0,2500000000.0,2,12195137924
71830,71830,0x2a741b7b80abb56a8ffb5137088fbaeb447ce26af8c3ec5af59f9db4802d3022,49150,14,0xcc9557f04633d82fb6a1741dcec96986cd8689ae,0x3c36705df92f1145a9de9f8be2003eec6efba6ba,1.06756793842392e+17,21000,12190391006,0x,1296289,21000,,,1,2022-11-27 16:48:47+00:00,16062619,0x85438427854c71cf4cc50ca04ddd5589ee5ff3553c31b82346b61930f90efb58,22412216162.0,2500000000.0,2,12190391006
72018,72018,0xead47125ffb6865bf0921604591bafd743a1cb2454fd824b5aacdc7d51110c14,49149,31,0xcc9557f04633d82fb6a1741dcec96986cd8689ae,0x5d6cfb96e4d8b949c32a6cc25e0f862b79854910,1.0666969221536e+17,21000,12456108081,0x,4092198,21000,,,1,2022-11-27 16:48:35+00:00,16062618,0x5bb5367be4b79a0f76df95f6d5d600e46cc7874447b6f8d97234ee13348a4a81,20378306960.0,2500000000.0,2,12456108081
72074,72074,0x42a7e426d3b120963a6e91c95d539d9b1091a0b5cd37cc1a6800c7399331eb3b,49148,25,0xcc9557f04633d82fb6a1741dcec96986cd8689ae,0xb5e0a70357acd3ccd79d0273d68c1329c8db42d2,4.46630446861304e+17,21000,11439153480,0x,1185732,21000,,,1,2022-11-27 16:48:23+00:00,16062617,0xe472b67439d47dd2d2bab89af5738bcc5bd479d9d543db9cd92d25a082c8e228,21066108794.0,2500000000.0,2,11439153480
72149,72149,0x8c4de19b36c1e593d8a31929cc580bc4bb30fa4f0aba35513a19becd313e2b85,200,125,0xc98bc4e02207d7ddd39d3cfbe2d5b87393b30cf8,0x176caa48e5b2d6be10e56a9e602df93ed20f2c1e,1e+17,21000,10611638698,0x,8576382,21000,,,1,2022-11-27 16:48:11+00:00,16062616,0xb48ba14c3e55bce361bd6fc8086b1b02804d12ca7cde81bad8c6d982e357237d,13855888719.0,1500000000.0,2,10611638698
72396,72396,0x15224f7a5ca14ff12a709af7dffd1909f2f767a8356504faa8a50bb257edc3b2,95,91,0x87c904e2c34b4d3d0f137bf527d416e8c212cda5,0x176caa48e5b2d6be10e56a9e602df93ed20f2c1e,1.194315526644842e+17,21000,10783054397,0x,8124777,21000,,,1,2022-11-27 16:47:59+00:00,16062615,0x38cfcb3ae6373f99fea50c109c48d070844d188c478070eee2047500d1f57ba9,13689382867.0,1500000000.0,2,10783054397
73029,73029,0xd660ef6acfea1268fd7e36eabe905508a84fd4a3dcd59f50ed43bf2782535ce7,49147,42,0xcc9557f04633d82fb6a1741dcec96986cd8689ae,0x748c9d05c880432cd0ef5561e32389a925b429d0,1.09046808628144e+17,21000,11340979149,0x,2674173,21000,,,1,2022-11-27 16:47:11+00:00,16062611,0x49c5ea8e603ca6f33814385e1dd0b3798037ab4e488980082cc87181f9cfedaf,19556103896.0,2500000000.0,2,11340979149
73571,73571,0x57358ea185794108696644393068e1a74736560632d2736b6c07361d2add9d71,4709,1,0x4e7b110335511f662fdbb01bf958a7844118c0d4,0x22f3da334cc8d5cb276afbe1f6ecb66912f9e42a,8.404846e+16,210000,30500000000,0x,42000,21000,,,1,2022-11-27 16:46:11+00:00,16062607,0xc6618f7f80259a1319c6e13d4dd438b7630dbc5d921ff6b4bd14cc1c0eb6a200,,,0,30500000000
75910,75910,0x823b2f6be5cd8999c13d56b01971fbc61ac17ea715e26ad2749a892b53c00226,49145,44,0xcc9557f04633d82fb6a1741dcec96986cd8689ae,0x334824141b9d549b5cf76195a9e6e431cc3b6a58,4.4657834219336e+17,21000,11519586350,0x,3661697,21000,,,1,2022-11-27 16:42:47+00:00,16062590,0x9b67324da42238dec71c816f55dda20c03db8a05db4568db8e740286d4c388f6,21686402460.0,2500000000.0,2,11519586350
76088,76088,0x03f0a1b9d6a36f276e2a95273abdd49c30f66143958f4261895ba6f9a75b8034,4697463,31,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0xea48f1fe453330334eab2e801fa3d6adf0a6c55f,8.5715e+16,207128,11196374385,0x,2479226,21000,,,1,2022-11-27 16:42:35+00:00,16062589,0x293e70da711655a91af6cc73cfb198964cb7d087cd3c9e540008ac67d7bc7a78,102000000000.0,2000000000.0,2,11196374385
